"X.1","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1,"CCL5",0,2.79368750733048,0.937,0.219,0,"CD8+ Cytotoxic T","CCL5"
2,"NKG7",0,2.04011936663472,0.897,0.18,0,"CD8+ Cytotoxic T","NKG7"
3,"GZMA",0,2.22946947216262,0.739,0.15,0,"CD8+ Cytotoxic T","GZMA"
4,"CST7",0,2.24486666076027,0.733,0.147,0,"CD8+ Cytotoxic T","CST7"
5,"GNLY",0,1.87011238779781,0.684,0.169,0,"CD8+ Cytotoxic T","GNLY"
6,"CTSW",0,1.72688521451192,0.695,0.238,0,"CD8+ Cytotoxic T","CTSW"
7,"GZMH",0,3.14922307873837,0.471,0.065,0,"CD8+ Cytotoxic T","GZMH"
8,"GZMK",0,3.0316514936644,0.442,0.066,0,"CD8+ Cytotoxic T","GZMK"
9,"IL32",0,1.24525297767563,0.851,0.491,0,"CD8+ Cytotoxic T","IL32"
10,"HOPX",0,1.83413989540892,0.444,0.111,0,"CD8+ Cytotoxic T","HOPX"
11,"GZMB",0,1.51790469475134,0.409,0.101,0,"CD8+ Cytotoxic T","GZMB"
12,"LTB",0,-0.998865927928298,0.506,0.805,0,"CD8+ Cytotoxic T","LTB"
13,"LYAR",0,2.10030471771511,0.405,0.111,0,"CD8+ Cytotoxic T","LYAR"
14,"S100A4",0,0.580660293906975,0.876,0.604,0,"CD8+ Cytotoxic T","S100A4"
15,"FGFBP2",0,1.95090628754602,0.353,0.081,0,"CD8+ Cytotoxic T","FGFBP2"
16,"CD99",0,1.12102600965762,0.657,0.396,0,"CD8+ Cytotoxic T","CD99"
17,"HCST",0,1.04318600495205,0.686,0.429,0,"CD8+ Cytotoxic T","HCST"
18,"PRF1",0,1.33882879777345,0.335,0.096,0,"CD8+ Cytotoxic T","PRF1"
19,"GZMM",0,1.04456246797314,0.523,0.298,0,"CD8+ Cytotoxic T","GZMM"
20,"KLRG1",0,2.44605458745632,0.267,0.059,0,"CD8+ Cytotoxic T","KLRG1"
21,"ID2",0,1.08712147915284,0.451,0.247,0,"CD8+ Cytotoxic T","ID2"
22,"LDHB",0,-0.979914640795655,0.505,0.708,0,"CD8+ Cytotoxic T","LDHB"
23,"NOSIP",0,-0.947155164263194,0.316,0.517,0,"CD8+ Cytotoxic T","NOSIP"
