"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDH19",0,8.86571097085819,0.996,0.014,0,"monocyte (inaccurate annotation)","CDH19"
"NRXN1",0,8.41654303243543,0.974,0.013,0,"monocyte (inaccurate annotation)","NRXN1"
"PLP1",0,8.58194567864456,0.917,0.01,0,"monocyte (inaccurate annotation)","PLP1"
"LGI4.1",0,6.89879043296571,0.958,0.059,0,"monocyte (inaccurate annotation)","LGI4"
"GPM6B",0,6.99159020035579,0.912,0.031,0,"monocyte (inaccurate annotation)","GPM6B"
"SCN7A",0,6.49953037160815,0.897,0.023,0,"monocyte (inaccurate annotation)","SCN7A"
"SPARCL1.2",0,4.28572386988616,0.961,0.087,0,"monocyte (inaccurate annotation)","SPARCL1"
"CRYAB.2",0,7.31884079649201,0.998,0.145,0,"monocyte (inaccurate annotation)","CRYAB"
"PMP22.2",0,5.24175506615694,0.934,0.083,0,"monocyte (inaccurate annotation)","PMP22"
"IGFBP7.2",0,3.19204345292397,0.945,0.099,0,"monocyte (inaccurate annotation)","IGFBP7"
"SPP1",0,9.00040219078255,0.855,0.009,0,"monocyte (inaccurate annotation)","SPP1"
"CLU.1",0,5.12885942655896,1,0.156,0,"monocyte (inaccurate annotation)","CLU"
"MYOT",0,8.56656887000752,0.851,0.01,0,"monocyte (inaccurate annotation)","MYOT"
"TIMP3.2",0,3.4885765685207,0.937,0.097,0,"monocyte (inaccurate annotation)","TIMP3"
"GPX3.2",0,3.35913370393614,0.948,0.115,0,"monocyte (inaccurate annotation)","GPX3"
"CHL1",0,7.96217933123662,0.831,0.011,0,"monocyte (inaccurate annotation)","CHL1"
"NRXN3",0,7.73845401776977,0.825,0.016,0,"monocyte (inaccurate annotation)","NRXN3"
"NCAM1",0,7.13162548568978,0.814,0.017,0,"monocyte (inaccurate annotation)","NCAM1"
"GPR155",0,6.52783234755132,0.831,0.035,0,"monocyte (inaccurate annotation)","GPR155"
"SAMHD1.1",0,4.80261908708012,0.943,0.148,0,"monocyte (inaccurate annotation)","SAMHD1"
"SPARC.2",0,5.12809317256714,0.847,0.06,0,"monocyte (inaccurate annotation)","SPARC"
"CLIC4.2",0,5.31462721829568,0.867,0.093,0,"monocyte (inaccurate annotation)","CLIC4"
"S100B",0,7.26841991391119,0.781,0.015,0,"monocyte (inaccurate annotation)","S100B"
"CADM2",0,8.08246489374223,0.773,0.009,0,"monocyte (inaccurate annotation)","CADM2"
"NPTX2",0,6.93103771737393,0.792,0.028,0,"monocyte (inaccurate annotation)","NPTX2"
"MAP1B",0,5.94034880569516,0.773,0.033,0,"monocyte (inaccurate annotation)","MAP1B"
"CCN1.1",0,4.35894559943173,0.895,0.158,0,"monocyte (inaccurate annotation)","CCN1"
"RASSF4.2",0,5.92070826358228,0.803,0.067,0,"monocyte (inaccurate annotation)","RASSF4"
"EPB41L2.2",0,4.39510707274437,0.904,0.169,0,"monocyte (inaccurate annotation)","EPB41L2"
"GAS7",0,6.4216139822138,0.757,0.027,0,"monocyte (inaccurate annotation)","GAS7"
"MAL.1",0,5.46971583204505,0.775,0.047,0,"monocyte (inaccurate annotation)","MAL"
"ALDH1A1.1",0,4.96699180168965,0.89,0.176,0,"monocyte (inaccurate annotation)","ALDH1A1"
"SFRP5",0,8.3049635825928,0.711,0.006,0,"monocyte (inaccurate annotation)","SFRP5"
"HAND2-AS1",0,7.36924513733775,0.715,0.015,0,"monocyte (inaccurate annotation)","HAND2-AS1"
"HAND2",0,6.78914152677048,0.711,0.019,0,"monocyte (inaccurate annotation)","HAND2"
"OGFRL1.1",0,4.94674057836473,0.783,0.097,0,"monocyte (inaccurate annotation)","OGFRL1"
"AASS.1",0,5.61088902761613,0.74,0.057,0,"monocyte (inaccurate annotation)","AASS"
"QKI.2",0,3.55090776335928,0.858,0.188,0,"monocyte (inaccurate annotation)","QKI"
"LGALS1.1",0,3.03857323613433,0.963,0.296,0,"monocyte (inaccurate annotation)","LGALS1"
"NDRG2.2",0,4.19268983981037,0.866,0.2,0,"monocyte (inaccurate annotation)","NDRG2"
"KCNMB4",0,7.66240196238136,0.67,0.008,0,"monocyte (inaccurate annotation)","KCNMB4"
"SERPING1.2",0,2.29368801544381,0.733,0.089,0,"monocyte (inaccurate annotation)","SERPING1"
"CTNNAL1.1",0,4.05316372039883,0.812,0.169,0,"monocyte (inaccurate annotation)","CTNNAL1"
"ANK3.2",0,4.39727617678157,0.858,0.219,0,"monocyte (inaccurate annotation)","ANK3"
"ABCA8",0,5.18916115729022,0.67,0.035,0,"monocyte (inaccurate annotation)","ABCA8"
"FXYD1.1",0,4.89211987961647,0.7,0.069,0,"monocyte (inaccurate annotation)","FXYD1"
"SEMA3C.1",0,4.96138877878462,0.738,0.11,0,"monocyte (inaccurate annotation)","SEMA3C"
"DST.1",0,3.72884223561237,0.897,0.273,0,"monocyte (inaccurate annotation)","DST"
"DPYSL2.2",0,4.1240748605659,0.718,0.096,0,"monocyte (inaccurate annotation)","DPYSL2"
"SORBS2.1",0,5.05625710224271,0.726,0.105,0,"monocyte (inaccurate annotation)","SORBS2"
"ABL2.2",0,5.69072878550692,0.709,0.094,0,"monocyte (inaccurate annotation)","ABL2"
"IFITM3.2",0,2.80246394844367,0.816,0.202,0,"monocyte (inaccurate annotation)","IFITM3"
"HTRA1",0,4.0005457564088,0.661,0.053,0,"monocyte (inaccurate annotation)","HTRA1"
"CNN3.2",0,4.19049989336135,0.759,0.152,0,"monocyte (inaccurate annotation)","CNN3"
"NEGR1",0,5.11850927480451,0.639,0.033,0,"monocyte (inaccurate annotation)","NEGR1"
"RGS16.1",0,5.08006519131713,0.657,0.063,0,"monocyte (inaccurate annotation)","RGS16"
"TMEM176B.2",0,3.56664146328977,0.878,0.285,0,"monocyte (inaccurate annotation)","TMEM176B"
"CSRP1.2",0,3.95273284635823,0.764,0.186,0,"monocyte (inaccurate annotation)","CSRP1"
"PCDH17",0,6.99653476738965,0.587,0.01,0,"monocyte (inaccurate annotation)","PCDH17"
"MAFF.2",0,4.36720246198873,0.934,0.374,0,"monocyte (inaccurate annotation)","MAFF"
"PCDH9",0,5.1079393169659,0.611,0.051,0,"monocyte (inaccurate annotation)","PCDH9"
