,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
MZB1,0,8.09873468161998,0.961,0.013,0,plasma cell,MZB1
JCHAIN.1,0,9.81702966731003,0.988,0.147,0,plasma cell,JCHAIN
DERL3,0,6.9546298455609,0.855,0.014,0,plasma cell,DERL3
CD79A,0,3.210112654329,0.864,0.047,0,plasma cell,CD79A
TNFRSF17,0,8.83735434471993,0.8,0.002,0,plasma cell,TNFRSF17
IGHA2.1,0,7.3839682771233,0.888,0.096,0,plasma cell,IGHA2
SPAG4,0,4.70997795301784,0.815,0.031,0,plasma cell,SPAG4
CD27,0,3.90820743509554,0.812,0.046,0,plasma cell,CD27
FAM49A,0,3.4258223843181,0.767,0.041,0,plasma cell,FAM49A
SLAMF7,0,4.27311062008509,0.721,0.025,0,plasma cell,SLAMF7
MIR155HG,0,4.36011841572828,0.727,0.037,0,plasma cell,MIR155HG
IRF4.3,0,2.54640845209846,0.755,0.084,0,plasma cell,IRF4
GNG7,0,3.31245330384527,0.709,0.038,0,plasma cell,GNG7
MOB3A.2,0,2.93371426454779,0.739,0.09,0,plasma cell,MOB3A
POU2AF1,0,5.17652394390088,0.648,0.01,0,plasma cell,POU2AF1
BASP1.1,0,2.95938753210272,0.691,0.068,0,plasma cell,BASP1
TNFRSF13B,0,2.85590424199888,0.639,0.03,0,plasma cell,TNFRSF13B
FCRL5,0,5.97781333669264,0.612,0.005,0,plasma cell,FCRL5
ANKRD36BP2,0,7.53155370387284,0.588,0.003,0,plasma cell,ANKRD36BP2
SLAMF1.1,0,3.14423650961319,0.63,0.059,0,plasma cell,SLAMF1
MEI1,0,3.30443029886097,0.585,0.024,0,plasma cell,MEI1
RASGRP3,0,4.15806806011258,0.558,0.022,0,plasma cell,RASGRP3
PNOC,0,4.99553820838316,0.536,0.007,0,plasma cell,PNOC
SPINK2,0,4.84775451106523,0.555,0.028,0,plasma cell,SPINK2
DAPP1,0,3.77074745872414,0.542,0.023,0,plasma cell,DAPP1
PLEK,0,3.65209487876703,0.515,0.01,0,plasma cell,PLEK
ITGB7,0,2.89424747093028,0.53,0.029,0,plasma cell,ITGB7
KLHL6,0,3.00715897920108,0.533,0.034,0,plasma cell,KLHL6
TXNDC5,0,5.57757190486124,0.506,0.009,0,plasma cell,TXNDC5
LINC02384,0,5.56475191304633,0.497,0.006,0,plasma cell,LINC02384
CCR10,0,5.49270543367289,0.479,0.007,0,plasma cell,CCR10
LINC02362,0,6.68115180875057,0.47,0.003,0,plasma cell,LINC02362
BHLHE41,0,3.70100163264664,0.5,0.036,0,plasma cell,BHLHE41
PHACTR1,0,4.01775780905516,0.47,0.016,0,plasma cell,PHACTR1
CD38,0,4.68732284431984,0.455,0.008,0,plasma cell,CD38
CPNE5,0,4.17296047494398,0.448,0.016,0,plasma cell,CPNE5
FCGR2B,0,4.35177716483244,0.433,0.007,0,plasma cell,FCGR2B
LY96,0,3.69549827219911,0.439,0.014,0,plasma cell,LY96
THEMIS2,0,3.03361996314493,0.439,0.018,0,plasma cell,THEMIS2
AC026369.3,0,8.3614170717622,0.397,0.001,0,plasma cell,AC026369.3
IGF1,0,2.69616144578445,0.403,0.014,0,plasma cell,IGF1
C16orf74,0,4.82933833135227,0.391,0.005,0,plasma cell,C16orf74
CCL3,0,6.35071036399896,0.406,0.024,0,plasma cell,CCL3
BMP6,0,6.28185876975558,0.345,0.002,0,plasma cell,BMP6
CD79B,0,2.51008129062248,0.342,0.014,0,plasma cell,CD79B
ZBP1,0,3.81301309321764,0.336,0.01,0,plasma cell,ZBP1
SLC7A7,0,4.20214373383153,0.306,0.007,0,plasma cell,SLC7A7
AC104699.1,0,6.70319067915483,0.288,0.001,0,plasma cell,AC104699.1
WNT10A,0,4.10061706779926,0.288,0.005,0,plasma cell,WNT10A
IGLL5,0,10.6263389386508,0.285,0.002,0,plasma cell,IGLL5
PIK3CD-AS2,0,3.4611830009355,0.285,0.008,0,plasma cell,PIK3CD-AS2
LILRB1,0,4.7821927471845,0.276,0.003,0,plasma cell,LILRB1
FCRLA,0,3.43088457865221,0.276,0.009,0,plasma cell,FCRLA
LINC01480,0,4.96902908589509,0.27,0.007,0,plasma cell,LINC01480
FAM30A,0,4.1638062187134,0.267,0.008,0,plasma cell,FAM30A
FER1L4,0,5.11154926159743,0.248,0.005,0,plasma cell,FER1L4
AL133467.1,0,6.04028077499804,0.239,0.002,0,plasma cell,AL133467.1
AC106897.1,0,5.36199261006354,0.209,0.002,0,plasma cell,AC106897.1
IGLV3-1,0,8.1733517594461,0.203,0.002,0,plasma cell,IGLV3-1
CXorf21,0,5.80301680739092,0.194,0.004,0,plasma cell,CXorf21
HLA-DOB,0,4.61766519258426,0.191,0.003,0,plasma cell,HLA-DOB
IGLV6-57,0,10.008935709231,0.179,0,0,plasma cell,IGLV6-57
UBE2QL1,0,6.15966567693921,0.161,0.001,0,plasma cell,UBE2QL1
U62317.4,0,5.64944305607481,0.145,0.001,0,plasma cell,U62317.4
AMPD1,0,7.52576679893049,0.142,0.001,0,plasma cell,AMPD1
AL391056.1,0,6.67187521863179,0.139,0.001,0,plasma cell,AL391056.1
LILRB4,0,6.52532137341677,0.136,0,0,plasma cell,LILRB4
FAM92B,0,9.60079581152707,0.106,0,0,plasma cell,FAM92B
ADA2,2.50459326992558e-303,3.01010244163502,0.352,0.018,1.47445405800519e-298,plasma cell,ADA2
RF00003-2,1.17035401898766e-300,4.06002263020844,0.315,0.014,6.88987410978033e-296,plasma cell,RF00003-2
AC104024.1,6.76222991920162e-297,3.89934656853759,0.197,0.004,3.980924753434e-292,plasma cell,AC104024.1
CYTOR.2,1.06217606684451e-295,3.20975705415817,0.955,0.183,6.25303050551365e-291,plasma cell,CYTOR
HOMER3,1.28626820720916e-284,3.11697857797996,0.358,0.02,7.57226093584034e-280,plasma cell,HOMER3
SH3BP5.3,1.83985858277179e-283,2.30617549437905,0.676,0.076,1.08312474767775e-278,plasma cell,SH3BP5
MYL2,1.20357325825165e-282,8.15225994690597,0.115,0.001,7.08543577132746e-278,plasma cell,MYL2
LINC00309,1.93467242323295e-278,6.13712386955316,0.179,0.004,1.13894165555724e-273,plasma cell,LINC00309
DUSP5.2,5.82726592886955e-273,3.46994679133669,0.933,0.212,3.43051145232551e-268,plasma cell,DUSP5
CREB3L2.3,8.63758043652499e-273,2.63534779194299,0.694,0.088,5.08494360298226e-268,plasma cell,CREB3L2
RAB30,1.14610789376086e-271,3.57760172143982,0.527,0.051,6.74713717057017e-267,plasma cell,RAB30
EAF2,2.04116527223483e-270,2.92180936421076,0.53,0.051,1.20163399576465e-265,plasma cell,EAF2
PAQR6,7.09819314510996e-270,3.7376512903907,0.206,0.006,4.17870630452623e-265,plasma cell,PAQR6
GPRC5D,1.17420238566069e-255,5.98087813619382,0.112,0.001,6.91252944438446e-251,plasma cell,GPRC5D
CD180,3.49310359006693e-253,3.39961485469258,0.203,0.006,2.0563900834724e-248,plasma cell,CD180
C16orf54.1,2.77187444687992e-250,2.09652593767335,0.588,0.063,1.63180248687821e-245,plasma cell,C16orf54
DNAAF1,5.83453284585055e-246,5.91084685363096,0.148,0.003,3.43478948635222e-241,plasma cell,DNAAF1
SYTL1,3.2410991754442e-243,2.59928061268659,0.391,0.029,1.908035084584e-238,plasma cell,SYTL1
ANKRD33B.1,1.98605018375454e-238,2.64737910094331,0.379,0.028,1.1691877431763e-233,plasma cell,ANKRD33B
SEC11C.1,3.47821420286807e-238,3.21985214236242,0.936,0.266,2.04762470122843e-233,plasma cell,SEC11C
IGHV3-23,2.87633222951079e-235,8.34569286544006,0.167,0.004,1.693296783513e-230,plasma cell,IGHV3-23
IGKV4-1,2.04076291698849e-233,8.30394594317448,0.176,0.005,1.20139712923112e-228,plasma cell,IGKV4-1
BFSP2,5.8891707269787e-233,5.45042546050668,0.115,0.001,3.46695480697236e-228,plasma cell,BFSP2
AP002852.1,3.79826508762371e-232,5.81665888258312,0.118,0.001,2.23603865708408e-227,plasma cell,AP002852.1
ARID3A,3.47410806252808e-230,2.36140432590165,0.47,0.045,2.04520741641028e-225,plasma cell,ARID3A
FCRL2,1.46049166851048e-223,3.81937747504009,0.17,0.005,8.5979144525212e-219,plasma cell,FCRL2
NUGGC,1.50462903227377e-218,2.04923003761997,0.312,0.02,8.85775111299569e-214,plasma cell,NUGGC
NRROS,1.70908248227446e-217,3.47510853433223,0.191,0.007,1.00613685731497e-212,plasma cell,NRROS
CSF2RB,6.13219772852659e-215,4.03343551676001,0.139,0.003,3.6100248027836e-210,plasma cell,CSF2RB
ABCB9,6.31022688928973e-215,3.77019067414134,0.288,0.018,3.71483056972486e-210,plasma cell,ABCB9
IFNAR2.1,8.26035980889211e-215,1.91425510063713,0.385,0.032,4.86287381949478e-210,plasma cell,IFNAR2
BTLA,1.39359899730753e-212,3.5842325091082,0.145,0.003,8.20411729714941e-208,plasma cell,BTLA
P2RX1,3.90791643103955e-211,3.32775211660325,0.155,0.004,2.30059040295298e-206,plasma cell,P2RX1
APOBEC3G.2,3.97444962156863e-210,1.88588060067639,0.567,0.069,2.33975849221745e-205,plasma cell,APOBEC3G
PRDX4.2,1.78121696627801e-209,2.93055331733156,0.818,0.189,1.04860242804786e-204,plasma cell,PRDX4
AC007569.1,3.21779969750686e-209,5.81363649284823,0.106,0.001,1.89431868192229e-204,plasma cell,AC007569.1
TNFRSF18.3,5.35541147974803e-208,1.80178839021446,0.755,0.121,3.15273073812766e-203,plasma cell,TNFRSF18
SEMA7A,1.55180509570679e-207,2.9275806729188,0.27,0.016,9.13547659842589e-203,plasma cell,SEMA7A
CDK14,5.76785696069139e-207,2.97401446935998,0.294,0.019,3.39553739275902e-202,plasma cell,CDK14
MIR193BHG,8.17770348742138e-207,3.77353218598194,0.215,0.01,4.81421404304497e-202,plasma cell,MIR193BHG
BST2.3,2.46471604968532e-205,1.72709948786853,0.788,0.128,1.45097833844975e-200,plasma cell,BST2
PAIP2B,7.31482596175719e-204,3.23650139347863,0.4,0.039,4.30623804368646e-199,plasma cell,PAIP2B
CHPF,2.27333701454991e-203,2.65891485347462,0.473,0.053,1.33831350046553e-198,plasma cell,CHPF
SMOC1,7.33816443538569e-201,4.70523643379093,0.112,0.002,4.31997740311156e-196,plasma cell,SMOC1
SH2B2,9.07099296992512e-201,3.31767526137534,0.185,0.007,5.34009356139492e-196,plasma cell,SH2B2
IGHA1.3,1.78505159134759e-199,8.23417861430067,0.994,0.686,1.05085987182633e-194,plasma cell,IGHA1
AC012645.3,4.33135285972624e-198,3.214373676089,0.167,0.005,2.54986742852084e-193,plasma cell,AC012645.3
PLPP5.2,1.62274595034129e-196,2.31633871802421,0.742,0.139,9.55310540965916e-192,plasma cell,PLPP5
CHST2,1.6962485316927e-196,4.26474583229422,0.164,0.005,9.98581510607495e-192,plasma cell,CHST2
CTSH.3,8.0689245656939e-196,2.19164922862979,0.612,0.093,4.750175891824e-191,plasma cell,CTSH
STAP1,2.49761639690941e-195,2.5352890211145,0.224,0.011,1.47034677286057e-190,plasma cell,STAP1
CXXC5.3,6.36812534853945e-195,2.33829844866101,0.703,0.127,3.74891539268517e-190,plasma cell,CXXC5
ADGRG5,4.9829243251487e-192,3.06958198894885,0.142,0.004,2.93344755021504e-187,plasma cell,ADGRG5
CHST15,6.44032592104648e-190,3.42276443529695,0.197,0.009,3.79141986972006e-185,plasma cell,CHST15
IFNGR2.3,1.03628221309557e-189,2.38232864495112,0.721,0.138,6.1005933884936e-185,plasma cell,IFNGR2
CD74.2,4.8836773976132e-186,0.950453101460133,0.915,0.228,2.87502088397489e-181,plasma cell,CD74
RNU1-85P,8.56725558256017e-186,5.74035053146686,0.106,0.002,5.04354336145317e-181,plasma cell,RNU1-85P
EIF2AK4.1,1.71557112256439e-182,2.22887993648423,0.794,0.171,1.00995671985366e-177,plasma cell,EIF2AK4
JSRP1,5.41971427287285e-181,4.3214154226617,0.155,0.005,3.19058579244024e-176,plasma cell,JSRP1
SSR4.2,9.65806514846162e-181,3.64231301632705,0.958,0.711,5.68570295289935e-176,plasma cell,SSR4
UBE2J1.1,2.38375517647165e-175,2.25714496598717,0.879,0.232,1.40331667238886e-170,plasma cell,UBE2J1
CRELD2.1,4.84497710251958e-169,2.20080277793224,0.697,0.138,2.85223802025327e-164,plasma cell,CRELD2
IGKV3-20,1.04805083860579e-168,7.419942667984,0.161,0.006,6.16987528687228e-164,plasma cell,IGKV3-20
TMEM120B.1,1.91700183156659e-168,1.87993101152941,0.545,0.081,1.12853897824325e-163,plasma cell,TMEM120B
PKHD1L1,2.78338806308219e-168,3.30619302737975,0.155,0.006,1.63858055273649e-163,plasma cell,PKHD1L1
BMP8B.1,2.69853712009108e-166,2.78562503864932,0.261,0.019,1.58862880259762e-161,plasma cell,BMP8B
IGHV3-74,7.66094844977904e-165,7.76969470388401,0.115,0.003,4.51000035238492e-160,plasma cell,IGHV3-74
BTK,1.93964085699927e-164,2.55175748158102,0.215,0.013,1.14186657251547e-159,plasma cell,BTK
FKBP11.3,3.21781101904466e-164,2.11033734868199,0.891,0.244,1.89432534691159e-159,plasma cell,FKBP11
AQP3.3,4.06894320476349e-164,1.75372074985962,0.561,0.085,2.39538686464427e-159,plasma cell,AQP3
BLK,1.07461529748543e-162,1.72872697140377,0.306,0.027,6.32626025629672e-158,plasma cell,BLK
DNAJB9.3,6.46936289039014e-160,2.02403989500242,0.776,0.172,3.80851393357267e-155,plasma cell,DNAJB9
FGL2.1,1.07661671421472e-158,3.00751563747777,0.452,0.064,6.33804259658207e-154,plasma cell,FGL2
STX11.1,1.43816781564404e-157,1.66211037471618,0.436,0.054,8.46649393069648e-153,plasma cell,STX11
DENND6B,2.7659790516243e-157,2.99131260061865,0.236,0.017,1.62833186769123e-152,plasma cell,DENND6B
FKBP2.1,4.16396833230898e-157,2.20273723483127,0.661,0.132,2.4513281572303e-152,plasma cell,FKBP2
ST8SIA4.2,4.35181166074645e-157,1.6136456353307,0.536,0.079,2.56191152468144e-152,plasma cell,ST8SIA4
COBLL1.1,5.58312578294869e-157,2.57921889878125,0.585,0.107,3.2867861484219e-152,plasma cell,COBLL1
AP000769.1,1.04693426465963e-153,2.70066990249058,0.424,0.056,6.16330201605122e-149,plasma cell,AP000769.1
RAB33A,1.52792418351554e-153,2.7508149391032,0.188,0.01,8.99488966835599e-149,plasma cell,RAB33A
PRDM1.3,8.62099286356495e-153,1.87868034861204,0.797,0.183,5.07517849878069e-148,plasma cell,PRDM1
IGHV3-7,8.80847524326639e-153,9.08826027032759,0.103,0.002,5.18554937571092e-148,plasma cell,IGHV3-7
TNFRSF4.3,7.01229956347479e-152,0.897023059461523,0.555,0.085,4.12814075301761e-147,plasma cell,TNFRSF4
SIL1.1,8.92746665280428e-152,1.96983158812435,0.655,0.13,5.25559961850588e-147,plasma cell,SIL1
PHGDH,3.06769721058454e-151,2.26941507981252,0.288,0.026,1.80595334787112e-146,plasma cell,PHGDH
TIFA.2,3.13682374731212e-151,1.86249819843791,0.518,0.081,1.84664814004265e-146,plasma cell,TIFA
KCNK12,6.02890573213799e-151,3.90610071337028,0.106,0.003,3.54921680450963e-146,plasma cell,KCNK12
AC008403.1,1.30827152551842e-149,3.46157381573821,0.13,0.004,7.70179447072692e-145,plasma cell,AC008403.1
AL096865.1,1.37121622968191e-148,2.74399001465599,0.148,0.006,8.0723499441374e-144,plasma cell,AL096865.1
IGKV1-5,2.96379761632891e-148,8.28529698866818,0.118,0.004,1.74478765673283e-143,plasma cell,IGKV1-5
VOPP1.1,5.68719279165114e-148,1.96351627501001,0.639,0.128,3.34805039644503e-143,plasma cell,VOPP1
ZBTB32,2.17643082349743e-147,2.2174117906031,0.294,0.027,1.28126482579294e-142,plasma cell,ZBTB32
HOMER2,4.61301228408303e-147,3.65961393109736,0.145,0.006,2.71568033163968e-142,plasma cell,HOMER2
PARVB,1.19454044007843e-146,1.36640499130891,0.476,0.067,7.03225957074171e-142,plasma cell,PARVB
IZUMO4,1.27949207271319e-146,2.20933112110253,0.285,0.026,7.53236983206255e-142,plasma cell,IZUMO4
IKZF3.3,3.36975169288378e-146,1.27174313706668,0.591,0.099,1.98377282160068e-141,plasma cell,IKZF3
HERPUD1.1,1.44371121119655e-145,2.41980624839043,0.994,0.655,8.49912790031409e-141,plasma cell,HERPUD1
CCDC69.1,3.51357512341282e-145,1.44789882659629,0.524,0.081,2.06844167515313e-140,plasma cell,CCDC69
BIRC3.2,5.23159376136105e-145,2.30271949527695,0.897,0.295,3.07983924731325e-140,plasma cell,BIRC3
CYSLTR1,1.05288134836265e-144,1.88190990187303,0.294,0.028,6.19831249781094e-140,plasma cell,CYSLTR1
C19orf38,1.64908322735755e-144,4.11303643894535,0.103,0.003,9.70815295945387e-140,plasma cell,C19orf38
CLIC4.3,1.87122280907929e-143,0.626967670385803,0.624,0.112,1.10158886770498e-138,plasma cell,CLIC4
PGLYRP2,1.86359742079077e-142,3.38125674244561,0.1,0.002,1.09709980161953e-137,plasma cell,PGLYRP2
RRAGD,2.49174141724276e-142,1.8240937679635,0.303,0.03,1.46688817233081e-137,plasma cell,RRAGD
RRAD.2,4.12295967990898e-142,3.72959492012213,0.555,0.106,2.42718636356242e-137,plasma cell,RRAD
RHOF.3,2.95476239290867e-141,1.80893503202322,0.712,0.155,1.73946862070533e-136,plasma cell,RHOF
FICD,1.60446959692538e-140,2.70656515337638,0.215,0.015,9.44551251709972e-136,plasma cell,FICD
SPCS2.2,1.94757385291338e-140,1.91821865732937,0.948,0.435,1.14653672721011e-135,plasma cell,SPCS2
TIMP1.3,3.0311461847195e-139,1.38285970463912,0.785,0.201,1.78443575894437e-134,plasma cell,TIMP1
CYBA.2,9.80182845907743e-138,1.80694794108128,0.961,0.761,5.77033641385888e-133,plasma cell,CYBA
NUCB2.1,7.23265635189746e-137,2.04711002720975,0.745,0.191,4.25786479436204e-132,plasma cell,NUCB2
PLA2G16.3,3.02063124964773e-136,1.34725211129716,0.609,0.111,1.77824561666762e-131,plasma cell,PLA2G16
ICAM3.3,1.5230500813258e-135,1.70474541800441,0.839,0.233,8.96619582876501e-131,plasma cell,ICAM3
C11orf24,2.16989678018436e-135,2.22394746843205,0.406,0.058,1.27741823449453e-130,plasma cell,C11orf24
RAPGEF1.2,6.21633065991031e-135,1.84386832528496,0.718,0.165,3.6595538594892e-130,plasma cell,RAPGEF1
FNDC3A.3,4.7980257065544e-134,1.82552297696608,0.776,0.199,2.82459773344858e-129,plasma cell,FNDC3A
TPST2,4.84673959488736e-134,1.70385473717797,0.4,0.055,2.85327559951019e-129,plasma cell,TPST2
TXNDC15.2,7.56073366456808e-134,1.50123059381348,0.585,0.11,4.45100390833123e-129,plasma cell,TXNDC15
FTH1.3,1.13923089183138e-132,-2.74381421804829,0.994,0.983,6.70665226021131e-128,plasma cell,FTH1
OXCT2,5.23201899668186e-132,4.63116937932052,0.103,0.003,3.08008958334661e-127,plasma cell,OXCT2
NCF4,4.45154279626804e-131,1.19176472864785,0.4,0.054,2.620623244163e-126,plasma cell,NCF4
H1FX-AS1,3.25371228376141e-128,2.89686529045058,0.191,0.013,1.91546042145034e-123,plasma cell,H1FX-AS1
TRIB1.1,3.42102664798048e-128,2.33236787543105,0.855,0.269,2.01395838766611e-123,plasma cell,TRIB1
SRPRB.2,3.94694814190192e-128,1.59319120910397,0.627,0.133,2.32356837113766e-123,plasma cell,SRPRB
ENTPD1,6.59816080398951e-128,1.47491179342945,0.37,0.048,3.88433726530863e-123,plasma cell,ENTPD1
LINC01678,1.79426483987853e-127,3.19823671737147,0.115,0.004,1.05628371123649e-122,plasma cell,LINC01678
SEC24D,3.88090554512444e-127,1.93365003369106,0.461,0.076,2.28468909441476e-122,plasma cell,SEC24D
IGLV2-11,5.71114278859243e-126,8.15735809159743,0.118,0.005,3.36214975964436e-121,plasma cell,IGLV2-11
CLECL1.2,2.88735716681011e-125,1.30863248756071,0.461,0.073,1.69978716410111e-120,plasma cell,CLECL1
HVCN1,3.15801686304576e-125,1.98112646961619,0.176,0.011,1.85912452727504e-120,plasma cell,HVCN1
ANKRD28.3,5.85322633400645e-125,1.72421481750175,0.973,0.359,3.4457943428296e-120,plasma cell,ANKRD28
HIPK2.3,8.80781241896319e-125,1.7728273591972,0.721,0.185,5.18515917104363e-120,plasma cell,HIPK2
TRAF1,1.41294793391399e-124,1.9182199327556,0.33,0.04,8.31802448695166e-120,plasma cell,TRAF1
CTHRC1,5.79760382604661e-123,2.7641319698525,0.139,0.007,3.41304937239364e-118,plasma cell,CTHRC1
MEF2C.3,1.81956510462565e-122,1.6780647320777,0.561,0.115,1.07117797709312e-117,plasma cell,MEF2C
MT-CYB.3,7.73148317434634e-121,-2.07713992291197,1,0.999,4.55152414473769e-116,plasma cell,MT-CYB
SEL1L3.3,1.40195733762019e-120,1.89889479253567,0.579,0.125,8.25332284657005e-116,plasma cell,SEL1L3
